day;inoculum;treatment;photo;cond;ci;stablef;tair;tleaf
21/09/2023;AB21;F35;0,76;0,0057;167,77;0,67;28,1;28,07
21/09/2023;AB21;BV;0,36;0,0066;295,29;1;28,09;28,07
21/09/2023;AB21;BV;-0,57;0,0083;487,41;0,67;28,16;28,14
21/09/2023;AB21;Control;-0,11;0,0059;409,34;0,67;28,2;28,17
21/09/2023;AB21;Control;1,07;0,0111;226,73;1;28,34;28,29
21/09/2023;AB21;Kalex;3,07;0,0181;108,76;0,67;28,82;28,83
21/09/2023;AB21;Kalex;3,89;0,0187;47,18;1;28,92;28,93
21/09/2023;NI;Control;0,21;0,008;338,19;1;29,1;29,12
21/09/2023;NI;Control;0,38;0,0112;324,74;1;29,09;29,09
21/09/2023;NI;Ridomil;0,75;0,0291;337,22;1;28,95;28,96
21/09/2023;NI;Ridomil;0,95;0,0436;343,51;0,67;28,86;28,9
21/09/2023;NI;Kalex;-0,48;0,0076;479,1;1;28,83;28,88
21/09/2023;NI;Kalex;-1,41;0,0131;550,06;0,67;28,93;28,97
21/09/2023;NI;BV;2,87;0,0175;116,91;1;29,13;29,15
21/09/2023;NI;BV;1,78;0,0306;284,31;0,67;29,17;29,2
21/09/2023;NI;F35;2,52;0,0581;306,61;1;29,22;29,26
21/09/2023;NI;F35;2,82;0,0397;262,33;1;29,27;29,31
21/09/2023;NI;BV+F35;1,96;0,0381;294,45;1;29,27;29,31
21/09/2023;NI;BV+F35;1,14;0,0442;336,22;1;29,29;29,34
21/09/2023;AB1;BV;0,18;0,0081;342,83;1;29,42;29,46
21/09/2023;AB1;BV;0,3;0,0058;297,1;1;29,46;29,49
21/09/2023;AB1;F35;0,1;0,0086;360,05;1;29,5;29,56
21/09/2023;AB1;F35;1,5;0,0132;199,57;1;29,53;29,56
21/09/2023;AB1;BV+F35;-0,21;0,0063;429,56;1;29,45;29,51
21/09/2023;AB1;BV+F35;-0,2;0,0079;418,83;1;29,53;29,59
21/09/2023;AB1;Kalex;0,28;0,0094;330,13;0,67;29,67;29,73
21/09/2023;AB1;Kalex;0,21;0,0092;341,64;1;29,73;29,79
21/09/2023;AB1;Kalex;0,19;0,0108;350,35;1;29,81;29,9
21/09/2023;AB1;Ridomil;0,62;0,0068;234,67;1;30,07;30,16
21/09/2023;AB1;Ridomil;0,56;0,0065;241,29;1;30,24;30,32
21/09/2023;AB1;Control;1,02;0,0201;295,72;0,67;30,32;30,4
21/09/2023;AB1;Control;3,7;0,0277;162,25;1;30,36;30,45
