"","treatment","inoculum","Sample Id","Plant","Operator","Analysis Date Time","ImageFileName","ImageAcqDeviceAndSoftwareInfo DateTimeModified","AnalysedRegionArea(cm2)","AnalysedRegionWidth(cm)","AnalysedRegionHeight(cm)","Left Top Right Bottom  NExclusions","DevOrder Criteria","ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile]","PxClassif","Filters","Fractal PxMin PxMax","SoilVol(m3)","Length(cm)","LengthTen(cm)","ProjArea(cm2)","ProjAreaTen(cm2)/RatioLeafToRootArea","SurfArea(cm2)","SurfAreaTen(cm2)","AvgDiam(mm)","AvgDiamTen(mm)","LenPerVol(cm/m3)","LenPerVolTen(cm/m3)","RootVolume(cm3)","FractalDimension","FractalDeviation","Tips","Forks","Crossings","NofLinks","NLinksIL","NLinksEE","NLinksEEL","NLinksEI","NLinksII","LengthLinksIL","LengthLinksEE","LengthLinksEEL","LengthLinksEI","LengthLinksII","Altitude","ExternalPathLength","LinkAvgLength(cm)","LinkAvgProjArea(cm2)","LinkAvgSurfArea(cm2)","LinkAvgDiam(mm)","LinkAvgBrAngle(deg)","NofNodules","LeafArea","...54","NAxis","Main NAxis","Main TotLength","Lateral NAxis","Lateral TotLength","Tertiary NAxis","Tertiary TotLength","NSeedlings/Seedling#","NumberOfClasses","ClassBoundaries","LenTotHistoClasses","0<.L.<=0.5000000","0.5000000<.L.<=1.0000000","1.0000000<.L.<=1.5000000","1.5000000<.L.<=2.0000000","2.0000000<.L.<=2.5000000","2.5000000<.L.<=3.0000000","3.0000000<.L.<=3.5000000","3.5000000<.L.<=4.0000000","4.0000000<.L.<=4.5000000",".L.>4.5000000","SATotHistoClasses","0<.SA.<=0.5000000","0.5000000<.SA.<=1.0000000","1.0000000<.SA.<=1.5000000","1.5000000<.SA.<=2.0000000","2.0000000<.SA.<=2.5000000","2.5000000<.SA.<=3.0000000","3.0000000<.SA.<=3.5000000","3.5000000<.SA.<=4.0000000","4.0000000<.SA.<=4.5000000",".SA.>4.5000000","PATotHistoClasses","0<.PA.<=0.5000000","0.5000000<.PA.<=1.0000000","1.0000000<.PA.<=1.5000000","1.5000000<.PA.<=2.0000000","2.0000000<.PA.<=2.5000000","2.5000000<.PA.<=3.0000000","3.0000000<.PA.<=3.5000000","3.5000000<.PA.<=4.0000000","4.0000000<.PA.<=4.5000000",".PA.>4.5000000","VolTotHistoClasses","0<.V.<=0.5000000","0.5000000<.V.<=1.0000000","1.0000000<.V.<=1.5000000","1.5000000<.V.<=2.0000000","2.0000000<.V.<=2.5000000","2.5000000<.V.<=3.0000000","3.0000000<.V.<=3.5000000","3.5000000<.V.<=4.0000000","4.0000000<.V.<=4.5000000",".V.>4.5000000","0<.T.<=0.5000000","0.5000000<.T.<=1.0000000","1.0000000<.T.<=1.5000000","1.5000000<.T.<=2.0000000","2.0000000<.T.<=2.5000000","2.5000000<.T.<=3.0000000","3.0000000<.T.<=3.5000000","3.5000000<.T.<=4.0000000","4.0000000<.T.<=4.5000000",".T.>4.5000000","GrpName...119","Background","GrpName...121","Root","GrpName...123","NotUsed"
"11","BV","AB21","Plant4_AB21_BV_Part2",4,"Davide","19/10/2023 15:06:49","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-145","Smooth Off Area Off LWRatio Off","Off",0.000931,1094.3123,0,35.1915,0,110.5574,0,0.3216,0,1175416.0141,0,0.889,0,0,4887,8310,1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1093.9146,954.9477,98.1156,24.521,7.9474,2.5009,2.987,1.2283,0.8501,0,0.8167,96.8252,54.3648,20.9386,9.0744,4.3068,1.713,2.6138,1.26,0.9822,0,1.5714,30.8204,17.3048,6.665,2.8885,1.3709,0.5453,0.832,0.4011,0.3126,0,0.5002,1.8973,0.3496,0.3698,0.2705,0.1867,0.0937,0.1825,0.103,0.0904,0,0.2509,4846,35,3,2,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"12","BV","AB21","Plant5_AB21_BV",5,"Davide","19/10/2023 16:55:47","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-142","Smooth Off Area Off LWRatio Off","Off",0.000931,1855.895,0,59.2721,0,186.2087,0,0.3194,0,1993442.584,0,1.487,0,0,9742,14514,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1854.9587,1568.9468,213.0642,46.3001,11.8789,7.2007,1.5627,1.2884,0.541,1.5611,2.6148,165.7638,80.6031,47.0145,17.1097,6.4627,5.0816,1.3596,1.2429,0.6069,2.0762,4.2067,52.7643,25.6568,14.9652,5.4462,2.0571,1.6175,0.4328,0.3956,0.1932,0.6609,1.339,3.428,0.4871,0.8547,0.5097,0.282,0.2867,0.0944,0.0954,0.0542,0.2201,0.5439,9670,53,10,4,2,1,0,1,0,1,NA,NA,NA,NA,NA,NA
"13","BV","NI","Plant1_NI_BV_Part1",1,"Davide","1694355715","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-181","Smooth Off Area Off LWRatio Off","Off",0.000931,2565.768,0,76.9668,0,241.7982,0,0.3,0,2755926.918,0,1.813,0,0,13831,23572,3211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",2564.4572,2235.4332,237.3773,65.5344,11.9164,3.5662,3.5073,2.4752,1.2894,0.9461,2.4118,208.4856,109.8381,53.4082,24.0766,6.4431,2.4613,3.0124,2.5317,1.5294,1.2546,3.9302,66.363,34.9626,17.0004,7.6638,2.0509,0.7835,0.9589,0.8059,0.4868,0.3993,1.251,3.9778,0.6495,0.9958,0.7122,0.2792,0.1357,0.2064,0.2064,0.1446,0.1326,0.5155,13751,68,7,2,2,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"14","BV","NI","Plant1_NI_BV_Part2",1,"Davide","1694356369","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-155","Smooth Off Area Off LWRatio Off","Off",0.000931,2038.6783,0,64.4879,0,202.5946,0,0.3163,0,2189772.5708,0,1.602,0,0,12716,19535,2627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",2037.1052,1760.7949,190.1917,45.4977,17.3359,11.6777,4.9677,3.4313,1.2674,0.6394,1.3015,177.9162,90.2561,40.2322,16.8407,9.6273,8.1388,4.2183,3.4976,1.4987,0.8354,2.7711,56.6325,28.7294,12.8063,5.3606,3.0645,2.5906,1.3427,1.1133,0.477,0.2659,0.8821,3.9279,0.5567,0.7048,0.5014,0.4283,0.4534,0.2861,0.2841,0.1412,0.0869,0.485,12642,66,5,0,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"15","BV","NI","Plant2_NI_BV_Part1",2,"Davide","1694356912","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-154","Smooth Off Area Off LWRatio Off","Off",0.000931,2269.0424,0,67.3198,0,211.4913,0,0.2967,0,2437209.9339,0,1.569,0,0,11363,17221,2614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",2268.0931,2000.9119,188.1198,49.8263,14.401,3.9008,3.1318,2.9463,2.3824,0.5399,1.933,187.0856,105.4915,40.0029,18.6153,7.7207,2.769,2.7043,2.9332,2.7603,0.7045,3.3838,59.5512,33.579,12.7333,5.9254,2.4576,0.8814,0.8608,0.9337,0.8786,0.2243,1.0771,3.6261,0.6483,0.7032,0.5612,0.3318,0.157,0.1864,0.2329,0.2549,0.0732,0.4772,11308,45,5,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"16","BV","NI","Plant2_NI_BV_Part2",2,"Davide","1694357672","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-154","Smooth Off Area Off LWRatio Off","Off",0.000931,1801.4535,0,49.0117,0,153.9749,0,0.2721,0,1934966.2183,0,1.047,0,0,11167,14983,2154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1800.4233,1583.8334,164.981,27.9267,13.2655,4.6509,1.6175,0.7009,1.7825,0.31,1.3547,135.7424,72.2577,35.2702,10.6512,7.1253,3.2351,1.3334,0.6916,2.1065,0.4144,2.657,43.2082,23.0004,11.2268,3.3904,2.2681,1.0298,0.4244,0.2201,0.6705,0.1319,0.8458,2.6551,0.4095,0.621,0.3277,0.3069,0.1798,0.0876,0.0544,0.1984,0.0441,0.4258,11133,27,5,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"17","BV","NI","Plant3_NI_BV_Part1",3,"Davide","1694358294","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-157","Smooth Off Area Off LWRatio Off","Off",0.000931,1872.93,0,72.163,0,226.7069,0,0.3853,0,2011740.0675,0,2.184,0,0,8132,13651,1521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1872.0832,1502.154,247.9919,58.6406,40.7672,13.0245,3.7709,2.0654,1.9802,1.083,0.6054,200.4691,83.5909,53.407,22.5241,21.9114,8.916,3.2512,2.1514,2.3026,1.4491,0.9656,63.8113,26.6078,17,7.1696,6.9746,2.838,1.0349,0.6848,0.7329,0.4613,0.3074,4.4982,0.528,0.948,0.6985,0.9432,0.4875,0.2237,0.1785,0.2134,0.1544,0.123,8063,52,11,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"18","BV","NI","Plant3_NI_BV_Part2",3,"Davide","1694358740","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-154","Smooth Off Area Off LWRatio Off","Off",0.000931,2047.2553,0,74.1926,0,233.0829,0,0.3624,0,2198985.2836,0,2.112,0,0,10803,16226,1814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",2046.6712,1702.8774,235.8917,51.7652,30.3668,11.5187,4.0119,4.0506,1.8265,2.0468,2.3155,205.2786,95.5522,48.9382,20.112,16.3081,7.9563,3.3577,4.1233,2.182,2.6781,4.0707,65.3422,30.4152,15.5775,6.4018,5.191,2.5326,1.0688,1.3125,0.6946,0.8525,1.2957,4.8574,0.62,0.8365,0.6301,0.7021,0.439,0.2243,0.3346,0.2078,0.2792,0.5838,10717,66,15,2,0,0,0,1,0,2,NA,NA,NA,NA,NA,NA
"19","BV","NI","Plant4_NI_BV",4,"Davide","1694359553","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-161","Smooth Off Area Off LWRatio Off","Off",0.000931,2467.807,0,67.57,0,212.2775,0,0.2738,0,2650705.7279,0,1.453,0,0,15952,23440,3549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",2466.1918,2200.3843,205.1916,34.472,11.533,5.0405,2.1635,0.8946,1.459,1.5979,3.4554,184.4432,105.9897,43.1206,12.8744,6.3412,3.5344,1.8659,0.8809,1.7356,2.1544,5.946,58.7101,33.7376,13.7257,4.098,2.0185,1.125,0.5939,0.2804,0.5525,0.6858,1.8927,3.6643,0.6335,0.7494,0.3874,0.2792,0.1981,0.1284,0.069,0.1645,0.2314,0.8235,15875,68,6,2,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"20","BV","NI","Plant5_NI_BV_Part1",5,"Davide","1694360028","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-153","Smooth Off Area Off LWRatio Off","Off",0.000931,2273.2435,0,61.1448,0,192.0921,0,0.269,0,2441722.3427,0,1.292,0,0,12767,17779,2771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",2272.3588,2026.5207,168.967,53.7821,15.3855,3.7632,1.9064,1.3905,0.3111,0.2957,0.0366,169.7647,98.0207,37.3244,19.8447,8.2316,2.5979,1.5924,1.3374,0.3581,0.4037,0.0538,54.0378,31.2009,11.8807,6.3168,2.6202,0.8269,0.5069,0.4257,0.114,0.1285,0.0171,2.6367,0.573,0.6858,0.5907,0.3525,0.1432,0.1061,0.1024,0.0328,0.0439,0.0063,12719,40,6,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"21","BV","NI","Plant5_NI_BV_Part2",5,"Davide","1694360548","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-151","Smooth Off Area Off LWRatio Off","Off",0.000931,1872.4695,0,44.227,0,138.9431,0,0.2362,0,2011245.3817,0,0.82,0,0,11925,14982,2172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1871.6313,1729.7681,97.4447,33.6053,8.0904,0.7227,0.6514,0.8568,0.4921,0,0,122.227,80.6548,22.1986,12.6263,4.2426,0.5034,0.5665,0.8808,0.5541,0,0,38.9061,25.6732,7.066,4.0191,1.3505,0.1602,0.1803,0.2804,0.1764,0,0,1.6167,0.4472,0.4208,0.3815,0.1781,0.028,0.0393,0.0721,0.0497,0,0,11882,35,5,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"22","BV","NI","Plant6_NI_BV_Part1",6,"Davide","1694361115","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-161","Smooth Off Area Off LWRatio Off","Off",0.000931,2348.897,0,65.61,0,206.12,0,0.2793,0,2522982.8177,0,1.439,0,0,14948,22539,3315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",2347.5168,2070.3699,213.7157,36.8831,12.6263,7.3599,1.9436,0.7927,1.5056,0.6732,1.6467,179.2898,99.8873,45.8329,14.0547,6.7845,5.0704,1.6135,0.7963,1.803,0.9445,2.5028,57.0697,31.7951,14.5891,4.4737,2.1596,1.6139,0.5136,0.2535,0.5739,0.3006,0.7967,3.1499,0.586,0.8094,0.4322,0.292,0.2791,0.1067,0.0638,0.1721,0.1052,0.3032,14885,51,7,1,2,0,0,1,0,1,NA,NA,NA,NA,NA,NA
"23","BV","NI","Plant6_NI_BV_Part2",6,"Davide","1694361473","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-151","Smooth Off Area Off LWRatio Off","Off",0.000931,1056.3597,0,27.9836,0,87.913,0,0.2649,0,1134650.6279,0,0.582,0,0,7267,10979,1495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1055.5539,938.9358,84.799,20.3225,6.879,2.5959,0.9584,0.7121,0.3514,0,0,77.0738,43.8372,18.229,7.5694,3.6175,1.8634,0.801,0.744,0.4124,0,0,24.5334,13.9538,5.8025,2.4094,1.1515,0.5931,0.255,0.2368,0.1313,0,0,1.2196,0.2556,0.3239,0.2272,0.1524,0.1068,0.0534,0.0619,0.0385,0,0,7238,21,7,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"24","BV+F35","AB1","Plant1_AB1_BV+F35",1,"Davide","25/10/2023 08:12:38","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-138","Smooth Off Area Off LWRatio Off","Off",0.000931,1996.3981,0,70.8754,0,222.6617,0,0.355,0,2144358.8737,0,1.976,0,0,9609,16228,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1995.0807,1616.6977,293.5494,53.2558,10.6137,6.396,4.2261,3.1351,2.4978,0.3807,4.3282,200.2331,90.5952,62.2269,19.6903,5.6609,4.5316,3.6054,3.1767,2.9954,0.4752,7.2754,63.7362,28.8373,19.8074,6.2676,1.8019,1.4425,1.1476,1.0112,0.9535,0.1513,2.3158,4.5911,0.5955,1.089,0.5876,0.242,0.2567,0.2454,0.2566,0.2861,0.0471,0.9851,9531,65,10,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA
"25","BV+F35","AB1","Plant2_AB1_BV+F35",2,"Davide","25/10/2023 08:29:31","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-141","Smooth Off Area Off LWRatio Off","Off",0.000931,1798.989,0,66.4194,0,208.6627,0,0.3692,0,1932319.0607,0,1.926,0,0,9079,11051,1285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1798.1615,1476.1753,216.6726,66.3407,20.6341,5.2804,6.3934,2.3471,1.1192,1.5392,1.6595,186.2488,83.6153,48.1509,24.5569,11.0392,3.6039,5.5086,2.4461,1.3115,2.0512,3.9651,59.2848,26.6156,15.3269,7.8167,3.5139,1.1471,1.7534,0.7786,0.4175,0.6529,1.2621,4.5491,0.5268,0.8851,0.7326,0.4726,0.1963,0.3787,0.2032,0.1225,0.2177,0.8135,8994,69,6,6,2,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"26","BV+F35","AB1","Plant3_AB1_BV+F35",3,"Davide","25/10/2023 08:40:43","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-142","Smooth Off Area Off LWRatio Off","Off",0.000931,1899.4779,0,65.7443,0,206.5417,0,0.3461,0,2040255.4783,0,1.787,0,0,9651,12747,1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1898.4609,1575.1404,251.4233,36.8285,18.212,7.2477,3.0477,1.3824,0.9951,0,4.1837,185.846,91.6522,53.047,13.7385,9.8979,5.1005,2.6234,1.3882,1.1699,0,7.2283,59.1566,29.1738,16.8854,4.3731,3.1506,1.6236,0.8351,0.4419,0.3724,0,2.3008,4.0644,0.6016,0.9224,0.4128,0.4308,0.2868,0.1801,0.1111,0.1095,0,1.0092,9552,78,15,1,2,1,1,1,0,0,NA,NA,NA,NA,NA,NA
"27","BV+F35","AB1","Plant4_AB1_BV+F35",4,"Davide","25/10/2023 08:55:10","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-143","Smooth Off Area Off LWRatio Off","Off",0.000931,1580.7179,0,51.5228,0,161.8638,0,0.3259,0,1697871.0347,0,1.319,0,0,9025,10949,1254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1580.1645,1340.3098,177.5883,39.9618,10.2134,2.3959,4.5505,2.3993,0.9668,0.8971,0.8816,142.5863,72.5879,37.7515,14.9503,5.378,1.6666,3.865,2.4359,1.1636,1.1734,1.6141,45.3866,23.1054,12.0167,4.7588,1.7119,0.5305,1.2303,0.7754,0.3704,0.3735,0.5138,2.8116,0.4467,0.6631,0.4503,0.2266,0.0926,0.262,0.1971,0.1116,0.1222,0.2394,8946,66,10,1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA
"28","BV+F35","AB1","Plant5_AB1_BV+F35",5,"Davide","25/10/2023 09:04:51","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-142","Smooth Off Area Off LWRatio Off","Off",0.000931,1334.4552,0,48.306,0,151.7577,0,0.362,0,1433356.8371,0,1.373,0,0,7500,9535,1176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1333.7639,1101.2725,161.0405,44.7441,11.9184,3.2154,2.5642,3.3952,2.2869,1.501,1.8256,135.1398,60.6648,35.57,16.5423,6.4903,2.2722,2.2149,3.4942,2.7538,2.0332,3.104,43.0163,19.3102,11.3223,5.2656,2.0659,0.7233,0.705,1.1122,0.8766,0.6472,0.988,3.2936,0.39,0.6526,0.494,0.2828,0.1282,0.1527,0.287,0.2641,0.2194,0.4229,7449,35,13,1,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA
"29","BV+F35","AB21","Plant1_AB21_BV+F35",1,"Davide","19/10/2023 17:48:34","ScannerOrCamera","EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.6 6.6.64.35952",1084.6074,27.8928,38.8848,"0 0 6592 9190  0","MAG ANG DIAM LEN","Grey Intr cm 0.004231 0.004231","GreyThdAutom-144","Smooth Off Area Off LWRatio Off","Off",0.000931,1954.6429,0,65.3899,0,205.4285,0,0.3345,0,2099509.0682,0,1.718,0,0,8956,13112,1649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000",1953.4633,1629.0068,252.7629,49.8886,10.3465,6.0219,1.7919,0.8061,0.5914,0.228,2.0191,182.4004,91.7934,55.176,18.5984,5.5812,4.1616,1.5591,0.8094,0.7069,0.3231,3.6913,58.0599,29.2187,17.5631,5.9201,1.7766,1.3247,0.4963,0.2576,0.225,0.1029,1.175,3.4292,0.5868,0.9956,0.5592,0.2412,0.2296,0.1082,0.0648,0.0674,0.0364,0.5401,8893,49,8,2,1,3,0,0,0,0,NA,NA,NA,NA,NA,NA
