"","plant","inoculum","treatment","length","avgDiam","rootVolume","tips","forks","crossings","FRL","CRL","FRS","CRS","FVOL","lenPerVol"
"44","3","AB21","BV+F35",1985.8201,0.3601,2.022,8327,1441,2132996.8698,1966.1435,17.533,184.3139,14.062,8325,2.13299688506982
"45","3","AB21","Control",2037.7041,0.3578,2.049,8459,1739,2188726.2065,2017.1863,18.5254,186.759,15.8107,8457,2.18872620837809
"46","3","AB21","F35",1452.2077,0.318,1.153,6578,1211,1559836.4337,1442.7671,6.5569,120.1562,5.9187,6575,1.55983641245972
"47","3","AB21","Kalex",2211.6274,0.297,1.532,10873,2113,2375539.6782,2198.2782,11.5271,170.0105,9.6603,10871,2.37553963480129
"48","3","AB21","Ridomil",1839.9277,0.3542,1.813,10462,1404,1976291.8205,1823.4709,14.4075,170.4169,11.7567,10461,1.97629183673469
"49","3","NI","BV",3920.1853,0.37385,4.296,18935,3335,4210725.3511,3870.4548,42.2487,362.3439,34.2405,18930,4.210725349087
"50","3","NI","BV+F35",3511.7256,0.314,2.963,20350,4250,3771993.1363,3479.855,24.4886,288.8458,20.5969,20346,3.77199312567132
"51","3","NI","Control",4149.2142,0.3049,3.03,27369,7608,4456728.4757,4102.8203,38.3294,313.6811,31.3402,27363,4.45672846401719
"52","3","NI","F35",3014.5405,0.3255,2.509,16756,3834,3237959.7422,2986.188,20.1764,241.2899,16.6501,16752,3.2379597207304
"53","3","NI","Kalex",4460.4884,0.30545,3.263,21852,6077,4791072.4461,4416.2634,35.4595,337.4652,29.2381,21848,4.7910723952739
"54","3","NI","Ridomil",3440.4416,0.2653,1.903,19331,5810,3695425.9578,3423.8675,12.9319,238.992,10.8711,19329,3.69542599355532
"55","4","AB1","BV",1695.3155,0.4812,3.083,6540,936,1820961.8295,1660.0187,27.4958,194.9053,22.8995,6535,1.82096186895811
"56","4","AB1","BV+F35",1580.7179,0.3259,1.319,9025,1254,1697871.0347,1568.0733,10.3125,130.6677,9.1311,9023,1.69787099892589
"57","4","AB1","Control",2547.6448,0.3962,3.142,13511,2247,2736460.5983,2505.7133,28.6167,237.499,23.9958,13508,2.73646058002148
"58","4","AB1","F35",2386.7483,0.3673,2.528,11819,2284,2563639.4062,2361.1894,19.8547,221.2443,16.7214,11817,2.56363941997852
"59","4","AB1","Kalex",1373.8369,0.48,2.486,4885,789,1475657.2146,1338.6378,28.1659,147.1639,24.1499,4884,1.47565725026853
"60","4","AB1","Ridomil",1316.7401,0.4244,1.863,4981,615,1414328.8372,1283.3559,25.873,125.971,21.8104,4980,1.41432878625134
"61","4","AB21","BV",2894.6782,0.3499,2.912,12295,2312,3109213.95,2867.4007,22.7487,260.1905,19.1921,12291,3.10921396348013
"62","4","AB21","BV+F35",1847.662,0.3147,1.438,8633,1540,1984599.3337,1839.191,5.6815,153.6046,4.4494,8631,1.98459935553169
"63","4","AB21","Control",2305.3424,0.3508,2.228,12330,1892,2476200.2364,2271.5611,24.9678,191.3858,21.6888,12323,2.47620021482277
"64","4","AB21","F35",2081.4849,0.3159,1.632,9535,2315,2235751.7654,2069.6132,8.6791,172.9699,7.0331,9532,2.23575177228786
"65","4","AB21","Kalex",3349.2907,0.37705,3.653,14517,3090,3597519.6145,3301.7871,40.4177,305.1849,32.6136,14515,3.59751954887218
"66","4","AB21","Ridomil",1871.1513,0.3903,2.239,8457,1299,2009829.5178,1840.9855,26.6045,180.26,22.3831,8454,2.00982953813104
"67","4","NI","BV",2467.807,0.2738,1.453,15952,3549,2650705.7279,2451.5809,9.5576,168.3259,8.0168,15951,2.65070569280344
"68","4","NI","BV+F35",4110.8775,0.36765,4.361,22423,4352,4415550.4811,4061.5012,34.8518,365.6071,29.6612,22418,4.41555048335124
"69","4","NI","Control",5330.4888,0.36105,5.457,19315,7091,5725551.8599,5284.2956,34.9071,458.231,29.7448,19314,5.72555187969925
"70","4","NI","F35",2433.6817,0.3492,2.331,12069,2336,2614051.2099,2408.9256,16.5416,207.5872,13.4171,12066,2.61405123523093
"71","4","NI","Kalex",3862.4924,0.3174,3.017,17190,4647,4148756.6126,3821.6959,33.4364,300.9922,27.3243,17186,4.14875660580021
"72","4","NI","Ridomil",2480.3363,0.2896,1.712,13931,2145,2664163.5649,2465.6051,12.4957,195.2164,9.8893,13928,2.66416358754028
"73","5","AB1","BV",1392.9876,0.4104,1.842,6161,1115,1496227.2381,1372.022,14.9567,139.198,12.1389,6157,1.49622728249194
"74","5","AB1","BV+F35",1334.4552,0.362,1.373,7500,1176,1433356.8371,1318.9755,11.4617,119.2674,10.7351,7498,1.43335682062299
"75","5","AB1","Control",1790.8682,0.399,2.239,6741,1194,1923596.3741,1766.4591,19.342,175.103,16.777,6739,1.92359634801289
"76","5","AB1","F35",2142.8299,0.4176,2.934,9389,1555,2301643.3404,2105.2521,32.1343,215.2655,26.4845,9386,2.3016432867884
"77","5","AB1","Kalex",879.923,0.5254,1.908,4171,504,945137.4773,854.7009,17.8682,104.3342,14.5318,4164,0.945137486573577
"78","5","AB1","Ridomil",943.6952,0.4884,1.768,3417,386,1013636.0492,918.7367,17.5126,104.3395,15.2271,3415,1.01363609022556
"79","5","AB21","BV",1855.895,0.3194,1.487,9742,2008,1993442.584,1840.19,10.5928,151.19,8.291,9737,1.9934425349087
"80","5","AB21","BV+F35",1313.7641,0.35,1.264,5312,850,1411132.2625,1299.8347,11.5504,118.5529,10.3114,5309,1.41113222341568
"81","5","AB21","Control",2284.1888,0.3601,2.326,10599,1926,2453478.8353,2251.3642,29.7137,200.5719,25.5374,10595,2.45347883995704
"82","5","AB21","F35",2138.5533,0.3534,2.098,8233,1797,2297049.7006,2113.7673,20.7771,191.0329,17.5623,8230,2.29704973147154
"83","5","AB21","Kalex",3159.926,0.3855,3.758,14208,2519,3394120.395,3111.5521,40.1507,301.5204,34.4418,14203,3.39412030075188
"84","5","AB21","Ridomil",1153.7409,0.402,1.464,4690,837,1239249.1318,1136.5703,15.8676,112.8233,13.2459,4690,1.23924908700322
"85","5","NI","BV",4145.713,0.2526,2.112,24692,4943,4452967.7244,4133.5638,10.0942,283.1437,8.3906,24691,4.45296777658432
"86","5","NI","BV+F35",3128.4209,0.3444,2.995,18862,3214,3360280.2804,3088.265,25.7114,253.5443,21.742,18858,3.36028023630505
"87","5","NI","Control",5559.0423,0.33365,4.751,26368,7398,5971044.4141,5501.1995,48.6722,448.7449,40.3174,26361,5.97104436090226
"88","5","NI","F35",4932.0745,0.3469,4.663,26799,6290,5297609.5758,4864.4417,51.4762,406.1987,44.4709,26792,5.29760955961332
"89","5","NI","Kalex",4234.2091,0.3225,3.454,24772,6246,4548022.6362,4190.7159,31.8258,332.1345,25.6898,24770,4.54802266380236
"90","5","NI","Ridomil",2430.2735,0.2945,1.656,12713,3609,2610390.4428,2413.6703,10.1705,180.6454,8.7918,12707,2.61039044038668
"91","6","AB1","Control",1676.889,0.4131,2.247,9425,1104,1801169.6697,1651.2933,17.7469,165.0737,14.4469,9422,1.80116970998926
"92","6","AB1","Kalex",1332.8574,0.4076,1.739,7271,1158,1431640.5903,1307.5299,17.3274,124.4659,14.2171,7265,1.43164060150376
"93","6","AB1","Ridomil",1229.6929,0.4031,1.57,5500,973,1320830.2031,1214.5582,7.6256,121.8834,6.6591,5495,1.32083018259936
"94","6","AB21","Control",1374.5307,0.4284,1.981,4559,679,1476402.5181,1351.34,20.5219,147.5697,16.9748,4555,1.47640247046187
"95","6","AB21","Kalex",1128.8548,0.3918,1.361,4620,797,1212518.5437,1113.387,12.8596,109.3571,11.2505,4619,1.21251858216971
"96","6","AB21","Ridomil",1238.2869,0.3386,1.115,7028,1063,1330061.1314,1219.8652,15.1965,101.117,13.294,7024,1.33006111707841
"97","6","NI","BV",3405.2567,0.2721,2.021,22215,4810,3657633.4456,3384.5313,16.2196,239.8125,13.104,22211,3.65763340494092
"98","6","NI","BV+F35",3144.3287,0.30305,2.367,21034,3568,3377367.0878,3124.8973,12.2068,248.9304,10.1072,21032,3.37736702470462
"99","6","NI","Control",5398.9489,0.3221,4.414,22315,7443,5799085.878,5349.627,40.8287,429.2899,34.4822,22311,5.7990858216971
"100","6","NI","F35",3921.1763,0.31795,3.108,20935,4251,4211789.7086,3881.967,26.1487,309.7677,21.8407,20929,4.21178979591837
"101","6","NI","Kalex",3933.446,0.27645,2.38,23164,6213,4224968.8161,3901.3024,22.0013,272.0124,17.3534,23160,4.22496885069817
"102","6","NI","Ridomil",2532.2234,0.2949,1.73,15375,3078,2719896.2696,2511.6092,15.1431,191.2211,12.9892,15374,2.7198962406015
