"","treatment","inoculum","sample_Id","plant","length","avgDiam","rootVolume","lenPerVol","tips","forks","crossings","FRL","CRL","FRS","CRS","FVOL"
"39","BV+F35","NI","Plant3_NI_BV+F35_Part2",3,963.8832,0.2856,0.617,7231,6151,953,1035320.335,955.5969,6.5784,67.9532,6.0351,6150
"40","BV+F35","NI","Plant4_NI_BV+F35_Part1",4,2512.8732,0.3669,2.657,21593,13576,2724,2699111.9526,2479.3859,23.9293,217.1036,20.6215,13574
"41","BV+F35","NI","Plant4_NI_BV+F35_Part2",4,1598.0043,0.3684,1.704,12800,8847,1628,1716438.5285,1582.1153,10.9225,148.5035,9.0397,8844
"42","BV+F35","NI","Plant5_NI_BV+F35_Part1",5,1921.9064,0.363,1.989,15431,11257,1816,2064346.3155,1891.0437,19.2676,157.9639,16.4994,11254
"43","BV+F35","NI","Plant5_NI_BV+F35_Part2",5,1206.5145,0.3258,1.006,10538,7605,1398,1295933.9649,1197.2213,6.4438,95.5804,5.2426,7604
"44","BV+F35","NI","Plant6_NI_BV+F35_Part1",6,1858.5768,0.3318,1.607,15421,11973,2004,1996323.1433,1846.6857,7.2686,158.051,6.2443,11971
"45","BV+F35","NI","Plant6_NI_BV+F35_Part2",6,1285.7519,0.2743,0.76,10881,9061,1564,1381043.9445,1278.2116,4.9382,90.8794,3.8629,9061
"46","Control","AB1","Plant1_AB1_Control",1,1869.6568,0.4644,3.167,13392,8394,1275,2008224.2524,1823.8553,27.7309,190.2988,23.7155,8390
"47","Control","AB1","Plant2_AB1_Control",2,1037.3723,0.4332,1.529,5851,4876,465,1114255.9606,1017.7742,15.3155,107.8838,13.3516,4873
"48","Control","AB1","Plant3_AB1_Control",3,2107.8231,0.4039,2.7,14151,10366,1552,2264042.0092,2076.7734,23.1951,205.8653,19.511,10362
"49","Control","AB1","Plant4_AB1_Control",4,2547.6448,0.3962,3.142,19125,13511,2247,2736460.5983,2505.7133,28.6167,237.499,23.9958,13508
"50","Control","AB1","Plant5_AB1_Control",5,1790.8682,0.399,2.239,10331,6741,1194,1923596.3741,1766.4591,19.342,175.103,16.777,6739
"51","Control","AB1","Plant6_AB1_Control",6,1676.889,0.4131,2.247,11601,9425,1104,1801169.6697,1651.2933,17.7469,165.0737,14.4469,9422
"52","Control","AB21","Plant1_AB21_Control",1,357.5968,0.425,0.507,2682,1934,244,384099.6733,349.0132,7.3302,35.5037,6.7358,1929
"53","Control","AB21","Plant2_AB21_Control_Part1",2,2450.9854,0.3747,2.703,19349,10541,2343,2632637.4045,2413.6613,28.6403,218.4461,22.7838,10537
"54","Control","AB21","Plant2_AB21_Control_Part2",2,1590.075,0.3525,1.552,10918,7137,1344,1707921.6264,1576.1441,13.4085,149.0258,10.3235,7134
"55","Control","AB21","Plant3_AB21_Control",3,2037.7041,0.3578,2.049,13712,8459,1739,2188726.2065,2017.1863,18.5254,186.759,15.8107,8457
"56","Control","AB21","Plant4_AB21_Control",4,2305.3424,0.3508,2.228,15583,12330,1892,2476200.2364,2271.5611,24.9678,191.3858,21.6888,12323
"57","Control","AB21","Plant5_AB21_Control",5,2284.1888,0.3601,2.326,15553,10599,1926,2453478.8353,2251.3642,29.7137,200.5719,25.5374,10595
"58","Control","AB21","Plant6_AB21_Control",6,1374.5307,0.4284,1.981,5681,4559,679,1476402.5181,1351.34,20.5219,147.5697,16.9748,4555
"59","Control","NI","Plant1_NI_Control",1,4257.9733,0.3441,3.961,50259,13008,7267,4573548.1531,4233.5606,19.4429,370.2783,15.5296,13007
"60","Control","NI","Plant2_NI_Control",2,3586.334,0.3006,2.545,46724,17827,7289,3852130.9913,3555.5072,26.1248,264.6768,22.2867,17823
"61","Control","NI","Plant3_NI_Control",3,4149.2142,0.3049,3.03,48045,27369,7608,4456728.4757,4102.8203,38.3294,313.6811,31.3402,27363
